"","Raf","Mek","Plcg","PIP2","PIP3","Erk","Akt","PKA","PKC","P38","Jnk"
"149","(39.52,552]","(24.8,389]","[1,24.8]","[1.11,23.3]","[1,45.3]","(25.3,2571]","(39.6,3555]","(547,4491]","(8.06,106]","(25,170]","[1,35.9]"
"150","[1.61,39.52]","[1,24.8]","[1,24.8]","(23.3,843]","[1,45.3]","(25.3,2571]","(39.6,3555]","(547,4491]","(8.06,106]","(25,170]","[1,35.9]"
"151","(39.52,552]","(24.8,389]","[1,24.8]","(23.3,843]","(45.3,764]","[1,25.3]","[1.7,39.6]","[1.95,547]","(8.06,106]","(25,170]","[1,35.9]"
"152","(39.52,552]","(24.8,389]","(24.8,167]","(23.3,843]","[1,45.3]","[1,25.3]","[1.7,39.6]","(547,4491]","[1,8.06]","(25,170]","[1,35.9]"
"153","(39.52,552]","[1,24.8]","[1,24.8]","(23.3,843]","[1,45.3]","[1,25.3]","[1.7,39.6]","(547,4491]","(8.06,106]","(25,170]","[1,35.9]"
"154","(39.52,552]","(24.8,389]","[1,24.8]","(23.3,843]","[1,45.3]","(25.3,2571]","(39.6,3555]","(547,4491]","(8.06,106]","(25,170]","[1,35.9]"
"155","(39.52,552]","(24.8,389]","[1,24.8]","(23.3,843]","[1,45.3]","(25.3,2571]","(39.6,3555]","(547,4491]","(8.06,106]","(25,170]","[1,35.9]"
"156","(39.52,552]","(24.8,389]","[1,24.8]","(23.3,843]","(45.3,764]","[1,25.3]","[1.7,39.6]","[1.95,547]","[1,8.06]","[1.53,25]","[1,35.9]"
"157","[1.61,39.52]","[1,24.8]","(24.8,167]","(23.3,843]","[1,45.3]","(25.3,2571]","(39.6,3555]","[1.95,547]","(8.06,106]","(25,170]","[1,35.9]"
"158","(39.52,552]","(24.8,389]","[1,24.8]","[1.11,23.3]","[1,45.3]","[1,25.3]","[1.7,39.6]","(547,4491]","(8.06,106]","(25,170]","[1,35.9]"
"159","(39.52,552]","[1,24.8]","[1,24.8]","(23.3,843]","[1,45.3]","[1,25.3]","[1.7,39.6]","[1.95,547]","(8.06,106]","(25,170]","[1,35.9]"
"160","(39.52,552]","(24.8,389]","[1,24.8]","[1.11,23.3]","(45.3,764]","(25.3,2571]","(39.6,3555]","(547,4491]","(8.06,106]","(25,170]","[1,35.9]"
"161","(39.52,552]","[1,24.8]","[1,24.8]","(23.3,843]","[1,45.3]","(25.3,2571]","(39.6,3555]","(547,4491]","(8.06,106]","(25,170]","[1,35.9]"
"162","(39.52,552]","(24.8,389]","[1,24.8]","(23.3,843]","[1,45.3]","[1,25.3]","[1.7,39.6]","[1.95,547]","[1,8.06]","(25,170]","(35.9,343]"
"163","(39.52,552]","(24.8,389]","[1,24.8]","(23.3,843]","[1,45.3]","[1,25.3]","[1.7,39.6]","(547,4491]","(8.06,106]","(25,170]","(35.9,343]"
"164","(39.52,552]","(24.8,389]","[1,24.8]","(23.3,843]","(45.3,764]","[1,25.3]","[1.7,39.6]","(547,4491]","[1,8.06]","[1.53,25]","(35.9,343]"
"165","[1.61,39.52]","[1,24.8]","[1,24.8]","(23.3,843]","[1,45.3]","[1,25.3]","[1.7,39.6]","[1.95,547]","(8.06,106]","(25,170]","[1,35.9]"
"166","(39.52,552]","(24.8,389]","[1,24.8]","[1.11,23.3]","[1,45.3]","[1,25.3]","(39.6,3555]","[1.95,547]","[1,8.06]","[1.53,25]","(35.9,343]"
"167","[1.61,39.52]","[1,24.8]","[1,24.8]","(23.3,843]","[1,45.3]","[1,25.3]","[1.7,39.6]","[1.95,547]","[1,8.06]","[1.53,25]","(35.9,343]"
"168","(39.52,552]","[1,24.8]","[1,24.8]","(23.3,843]","[1,45.3]","[1,25.3]","[1.7,39.6]","[1.95,547]","[1,8.06]","[1.53,25]","(35.9,343]"
"169","(39.52,552]","[1,24.8]","(24.8,167]","(23.3,843]","[1,45.3]","[1,25.3]","[1.7,39.6]","(547,4491]","[1,8.06]","(25,170]","(35.9,343]"
"170","[1.61,39.52]","[1,24.8]","[1,24.8]","[1.11,23.3]","(45.3,764]","[1,25.3]","[1.7,39.6]","(547,4491]","(8.06,106]","(25,170]","[1,35.9]"
"171","(39.52,552]","(24.8,389]","[1,24.8]","[1.11,23.3]","[1,45.3]","[1,25.3]","[1.7,39.6]","[1.95,547]","[1,8.06]","[1.53,25]","(35.9,343]"
"172","(39.52,552]","[1,24.8]","[1,24.8]","[1.11,23.3]","[1,45.3]","[1,25.3]","[1.7,39.6]","(547,4491]","(8.06,106]","(25,170]","[1,35.9]"
"173","(39.52,552]","(24.8,389]","[1,24.8]","(23.3,843]","[1,45.3]","(25.3,2571]","(39.6,3555]","(547,4491]","(8.06,106]","(25,170]","[1,35.9]"
"174","(39.52,552]","(24.8,389]","(24.8,167]","(23.3,843]","(45.3,764]","[1,25.3]","[1.7,39.6]","(547,4491]","(8.06,106]","(25,170]","(35.9,343]"
"175","(39.52,552]","[1,24.8]","[1,24.8]","[1.11,23.3]","[1,45.3]","[1,25.3]","[1.7,39.6]","[1.95,547]","(8.06,106]","[1.53,25]","(35.9,343]"
"176","(39.52,552]","[1,24.8]","[1,24.8]","(23.3,843]","[1,45.3]","[1,25.3]","[1.7,39.6]","(547,4491]","[1,8.06]","[1.53,25]","(35.9,343]"
"177","(39.52,552]","[1,24.8]","[1,24.8]","[1.11,23.3]","[1,45.3]","[1,25.3]","[1.7,39.6]","[1.95,547]","(8.06,106]","(25,170]","[1,35.9]"
"178","[1.61,39.52]","[1,24.8]","(24.8,167]","(23.3,843]","(45.3,764]","(25.3,2571]","(39.6,3555]","(547,4491]","(8.06,106]","(25,170]","(35.9,343]"
"179","(39.52,552]","[1,24.8]","(24.8,167]","(23.3,843]","[1,45.3]","[1,25.3]","[1.7,39.6]","[1.95,547]","[1,8.06]","[1.53,25]","(35.9,343]"
"180","(39.52,552]","(24.8,389]","[1,24.8]","(23.3,843]","[1,45.3]","[1,25.3]","[1.7,39.6]","[1.95,547]","[1,8.06]","[1.53,25]","(35.9,343]"
"181","(39.52,552]","[1,24.8]","[1,24.8]","(23.3,843]","[1,45.3]","[1,25.3]","[1.7,39.6]","[1.95,547]","[1,8.06]","[1.53,25]","(35.9,343]"
"182","(39.52,552]","(24.8,389]","(24.8,167]","(23.3,843]","(45.3,764]","(25.3,2571]","(39.6,3555]","(547,4491]","(8.06,106]","(25,170]","[1,35.9]"
"183","[1.61,39.52]","[1,24.8]","(24.8,167]","(23.3,843]","(45.3,764]","[1,25.3]","[1.7,39.6]","[1.95,547]","(8.06,106]","[1.53,25]","[1,35.9]"
"184","[1.61,39.52]","(24.8,389]","[1,24.8]","[1.11,23.3]","[1,45.3]","[1,25.3]","(39.6,3555]","(547,4491]","[1,8.06]","[1.53,25]","(35.9,343]"
"185","(39.52,552]","[1,24.8]","[1,24.8]","(23.3,843]","(45.3,764]","[1,25.3]","[1.7,39.6]","[1.95,547]","(8.06,106]","(25,170]","[1,35.9]"
"186","(39.52,552]","(24.8,389]","(24.8,167]","(23.3,843]","[1,45.3]","[1,25.3]","[1.7,39.6]","[1.95,547]","(8.06,106]","(25,170]","[1,35.9]"
"187","(39.52,552]","(24.8,389]","[1,24.8]","(23.3,843]","[1,45.3]","[1,25.3]","[1.7,39.6]","(547,4491]","(8.06,106]","(25,170]","[1,35.9]"
"188","(39.52,552]","[1,24.8]","[1,24.8]","(23.3,843]","[1,45.3]","[1,25.3]","[1.7,39.6]","[1.95,547]","(8.06,106]","(25,170]","[1,35.9]"
"189","(39.52,552]","[1,24.8]","[1,24.8]","(23.3,843]","[1,45.3]","[1,25.3]","[1.7,39.6]","[1.95,547]","(8.06,106]","(25,170]","[1,35.9]"
"190","(39.52,552]","(24.8,389]","(24.8,167]","(23.3,843]","[1,45.3]","[1,25.3]","[1.7,39.6]","[1.95,547]","[1,8.06]","[1.53,25]","(35.9,343]"
"191","(39.52,552]","(24.8,389]","(24.8,167]","(23.3,843]","[1,45.3]","[1,25.3]","[1.7,39.6]","(547,4491]","[1,8.06]","[1.53,25]","(35.9,343]"
"192","(39.52,552]","(24.8,389]","[1,24.8]","[1.11,23.3]","[1,45.3]","[1,25.3]","[1.7,39.6]","[1.95,547]","[1,8.06]","(25,170]","(35.9,343]"
"193","(39.52,552]","(24.8,389]","[1,24.8]","(23.3,843]","[1,45.3]","[1,25.3]","[1.7,39.6]","[1.95,547]","(8.06,106]","[1.53,25]","[1,35.9]"
"194","(39.52,552]","(24.8,389]","(24.8,167]","(23.3,843]","[1,45.3]","[1,25.3]","[1.7,39.6]","(547,4491]","(8.06,106]","(25,170]","[1,35.9]"
"195","(39.52,552]","(24.8,389]","(24.8,167]","(23.3,843]","[1,45.3]","[1,25.3]","[1.7,39.6]","(547,4491]","(8.06,106]","(25,170]","[1,35.9]"
"196","(39.52,552]","(24.8,389]","[1,24.8]","[1.11,23.3]","[1,45.3]","[1,25.3]","(39.6,3555]","(547,4491]","(8.06,106]","(25,170]","[1,35.9]"
"197","[1.61,39.52]","(24.8,389]","[1,24.8]","(23.3,843]","(45.3,764]","[1,25.3]","[1.7,39.6]","[1.95,547]","(8.06,106]","(25,170]","(35.9,343]"
"198","(39.52,552]","(24.8,389]","[1,24.8]","(23.3,843]","[1,45.3]","(25.3,2571]","(39.6,3555]","(547,4491]","[1,8.06]","[1.53,25]","[1,35.9]"
"199","(39.52,552]","(24.8,389]","[1,24.8]","(23.3,843]","[1,45.3]","[1,25.3]","[1.7,39.6]","[1.95,547]","(8.06,106]","[1.53,25]","[1,35.9]"
"200","[1.61,39.52]","[1,24.8]","(24.8,167]","(23.3,843]","(45.3,764]","[1,25.3]","[1.7,39.6]","[1.95,547]","(8.06,106]","(25,170]","[1,35.9]"
"201","(39.52,552]","(24.8,389]","[1,24.8]","[1.11,23.3]","[1,45.3]","[1,25.3]","[1.7,39.6]","[1.95,547]","[1,8.06]","(25,170]","(35.9,343]"
"202","(39.52,552]","(24.8,389]","[1,24.8]","(23.3,843]","[1,45.3]","(25.3,2571]","(39.6,3555]","(547,4491]","[1,8.06]","[1.53,25]","(35.9,343]"
"203","(39.52,552]","(24.8,389]","(24.8,167]","(23.3,843]","[1,45.3]","[1,25.3]","[1.7,39.6]","[1.95,547]","[1,8.06]","(25,170]","(35.9,343]"
"204","(39.52,552]","[1,24.8]","[1,24.8]","(23.3,843]","[1,45.3]","[1,25.3]","(39.6,3555]","[1.95,547]","(8.06,106]","(25,170]","[1,35.9]"
"205","(39.52,552]","[1,24.8]","[1,24.8]","(23.3,843]","[1,45.3]","[1,25.3]","[1.7,39.6]","[1.95,547]","(8.06,106]","(25,170]","[1,35.9]"
"206","[1.61,39.52]","[1,24.8]","[1,24.8]","(23.3,843]","[1,45.3]","[1,25.3]","[1.7,39.6]","[1.95,547]","(8.06,106]","(25,170]","[1,35.9]"
"207","[1.61,39.52]","[1,24.8]","(24.8,167]","(23.3,843]","(45.3,764]","[1,25.3]","[1.7,39.6]","(547,4491]","(8.06,106]","(25,170]","[1,35.9]"
"208","[1.61,39.52]","[1,24.8]","[1,24.8]","(23.3,843]","[1,45.3]","[1,25.3]","[1.7,39.6]","[1.95,547]","[1,8.06]","[1.53,25]","(35.9,343]"
"209","[1.61,39.52]","[1,24.8]","(24.8,167]","(23.3,843]","[1,45.3]","[1,25.3]","[1.7,39.6]","[1.95,547]","(8.06,106]","(25,170]","[1,35.9]"
"210","(39.52,552]","[1,24.8]","(24.8,167]","(23.3,843]","[1,45.3]","(25.3,2571]","(39.6,3555]","[1.95,547]","(8.06,106]","(25,170]","[1,35.9]"
"211","[1.61,39.52]","[1,24.8]","[1,24.8]","(23.3,843]","(45.3,764]","[1,25.3]","(39.6,3555]","(547,4491]","(8.06,106]","(25,170]","[1,35.9]"
"212","(39.52,552]","(24.8,389]","[1,24.8]","(23.3,843]","[1,45.3]","[1,25.3]","[1.7,39.6]","(547,4491]","(8.06,106]","(25,170]","[1,35.9]"
"213","[1.61,39.52]","[1,24.8]","[1,24.8]","(23.3,843]","[1,45.3]","[1,25.3]","[1.7,39.6]","(547,4491]","(8.06,106]","[1.53,25]","[1,35.9]"
"214","(39.52,552]","(24.8,389]","[1,24.8]","(23.3,843]","[1,45.3]","(25.3,2571]","(39.6,3555]","[1.95,547]","(8.06,106]","[1.53,25]","[1,35.9]"
"215","(39.52,552]","(24.8,389]","(24.8,167]","(23.3,843]","(45.3,764]","[1,25.3]","[1.7,39.6]","(547,4491]","(8.06,106]","(25,170]","[1,35.9]"
"216","(39.52,552]","(24.8,389]","[1,24.8]","(23.3,843]","[1,45.3]","(25.3,2571]","(39.6,3555]","(547,4491]","(8.06,106]","(25,170]","[1,35.9]"
"217","(39.52,552]","[1,24.8]","[1,24.8]","[1.11,23.3]","[1,45.3]","[1,25.3]","[1.7,39.6]","[1.95,547]","[1,8.06]","[1.53,25]","[1,35.9]"
"218","(39.52,552]","(24.8,389]","[1,24.8]","[1.11,23.3]","[1,45.3]","[1,25.3]","[1.7,39.6]","[1.95,547]","(8.06,106]","(25,170]","[1,35.9]"
"219","(39.52,552]","(24.8,389]","[1,24.8]","[1.11,23.3]","[1,45.3]","[1,25.3]","[1.7,39.6]","[1.95,547]","(8.06,106]","(25,170]","[1,35.9]"
"220","[1.61,39.52]","[1,24.8]","[1,24.8]","(23.3,843]","[1,45.3]","[1,25.3]","(39.6,3555]","[1.95,547]","(8.06,106]","(25,170]","[1,35.9]"
"221","(39.52,552]","(24.8,389]","[1,24.8]","[1.11,23.3]","(45.3,764]","(25.3,2571]","(39.6,3555]","(547,4491]","(8.06,106]","(25,170]","[1,35.9]"
"222","(39.52,552]","(24.8,389]","(24.8,167]","(23.3,843]","(45.3,764]","[1,25.3]","[1.7,39.6]","[1.95,547]","[1,8.06]","[1.53,25]","(35.9,343]"
"223","[1.61,39.52]","[1,24.8]","[1,24.8]","(23.3,843]","[1,45.3]","[1,25.3]","[1.7,39.6]","[1.95,547]","(8.06,106]","(25,170]","[1,35.9]"
"224","(39.52,552]","[1,24.8]","[1,24.8]","[1.11,23.3]","[1,45.3]","[1,25.3]","[1.7,39.6]","[1.95,547]","[1,8.06]","[1.53,25]","(35.9,343]"
"225","(39.52,552]","[1,24.8]","[1,24.8]","[1.11,23.3]","[1,45.3]","[1,25.3]","[1.7,39.6]","[1.95,547]","(8.06,106]","(25,170]","[1,35.9]"
"226","(39.52,552]","(24.8,389]","(24.8,167]","(23.3,843]","(45.3,764]","[1,25.3]","[1.7,39.6]","[1.95,547]","[1,8.06]","(25,170]","(35.9,343]"
"227","[1.61,39.52]","[1,24.8]","(24.8,167]","(23.3,843]","(45.3,764]","[1,25.3]","[1.7,39.6]","(547,4491]","(8.06,106]","(25,170]","[1,35.9]"
"228","[1.61,39.52]","[1,24.8]","[1,24.8]","[1.11,23.3]","[1,45.3]","(25.3,2571]","(39.6,3555]","[1.95,547]","[1,8.06]","[1.53,25]","[1,35.9]"
"229","(39.52,552]","[1,24.8]","[1,24.8]","(23.3,843]","[1,45.3]","[1,25.3]","[1.7,39.6]","[1.95,547]","(8.06,106]","(25,170]","[1,35.9]"
"230","(39.52,552]","[1,24.8]","(24.8,167]","(23.3,843]","[1,45.3]","[1,25.3]","[1.7,39.6]","[1.95,547]","[1,8.06]","(25,170]","[1,35.9]"
"231","(39.52,552]","(24.8,389]","[1,24.8]","(23.3,843]","(45.3,764]","[1,25.3]","[1.7,39.6]","[1.95,547]","(8.06,106]","(25,170]","[1,35.9]"
"232","(39.52,552]","(24.8,389]","[1,24.8]","[1.11,23.3]","[1,45.3]","[1,25.3]","(39.6,3555]","[1.95,547]","(8.06,106]","(25,170]","[1,35.9]"
"233","(39.52,552]","(24.8,389]","[1,24.8]","[1.11,23.3]","[1,45.3]","[1,25.3]","[1.7,39.6]","[1.95,547]","(8.06,106]","(25,170]","(35.9,343]"
"234","(39.52,552]","[1,24.8]","[1,24.8]","[1.11,23.3]","[1,45.3]","[1,25.3]","[1.7,39.6]","[1.95,547]","[1,8.06]","[1.53,25]","[1,35.9]"
"235","(39.52,552]","(24.8,389]","[1,24.8]","(23.3,843]","[1,45.3]","[1,25.3]","[1.7,39.6]","[1.95,547]","[1,8.06]","[1.53,25]","(35.9,343]"
"236","[1.61,39.52]","[1,24.8]","[1,24.8]","(23.3,843]","[1,45.3]","(25.3,2571]","(39.6,3555]","(547,4491]","(8.06,106]","(25,170]","[1,35.9]"
"237","(39.52,552]","(24.8,389]","[1,24.8]","[1.11,23.3]","[1,45.3]","[1,25.3]","[1.7,39.6]","[1.95,547]","(8.06,106]","(25,170]","[1,35.9]"
"238","[1.61,39.52]","[1,24.8]","[1,24.8]","[1.11,23.3]","[1,45.3]","[1,25.3]","[1.7,39.6]","[1.95,547]","(8.06,106]","(25,170]","(35.9,343]"
"239","(39.52,552]","(24.8,389]","[1,24.8]","[1.11,23.3]","[1,45.3]","(25.3,2571]","(39.6,3555]","[1.95,547]","(8.06,106]","[1.53,25]","[1,35.9]"
"240","(39.52,552]","[1,24.8]","[1,24.8]","(23.3,843]","[1,45.3]","[1,25.3]","[1.7,39.6]","[1.95,547]","(8.06,106]","(25,170]","[1,35.9]"
"241","(39.52,552]","[1,24.8]","[1,24.8]","(23.3,843]","[1,45.3]","[1,25.3]","[1.7,39.6]","[1.95,547]","(8.06,106]","(25,170]","[1,35.9]"
"242","(39.52,552]","[1,24.8]","[1,24.8]","(23.3,843]","(45.3,764]","(25.3,2571]","(39.6,3555]","(547,4491]","(8.06,106]","(25,170]","(35.9,343]"
"243","(39.52,552]","[1,24.8]","(24.8,167]","(23.3,843]","[1,45.3]","(25.3,2571]","(39.6,3555]","(547,4491]","(8.06,106]","(25,170]","(35.9,343]"
"244","(39.52,552]","(24.8,389]","[1,24.8]","[1.11,23.3]","(45.3,764]","[1,25.3]","[1.7,39.6]","[1.95,547]","[1,8.06]","[1.53,25]","(35.9,343]"
"245","(39.52,552]","[1,24.8]","[1,24.8]","(23.3,843]","[1,45.3]","(25.3,2571]","(39.6,3555]","(547,4491]","(8.06,106]","(25,170]","[1,35.9]"
"246","(39.52,552]","(24.8,389]","(24.8,167]","(23.3,843]","[1,45.3]","[1,25.3]","[1.7,39.6]","[1.95,547]","[1,8.06]","(25,170]","(35.9,343]"
"247","(39.52,552]","(24.8,389]","[1,24.8]","[1.11,23.3]","[1,45.3]","[1,25.3]","[1.7,39.6]","(547,4491]","(8.06,106]","(25,170]","[1,35.9]"
"248","[1.61,39.52]","[1,24.8]","[1,24.8]","(23.3,843]","[1,45.3]","[1,25.3]","[1.7,39.6]","[1.95,547]","(8.06,106]","(25,170]","[1,35.9]"
"249","(39.52,552]","(24.8,389]","(24.8,167]","(23.3,843]","[1,45.3]","(25.3,2571]","(39.6,3555]","(547,4491]","(8.06,106]","(25,170]","[1,35.9]"
"250","[1.61,39.52]","[1,24.8]","[1,24.8]","(23.3,843]","[1,45.3]","[1,25.3]","[1.7,39.6]","[1.95,547]","[1,8.06]","[1.53,25]","(35.9,343]"
"251","(39.52,552]","(24.8,389]","[1,24.8]","(23.3,843]","[1,45.3]","[1,25.3]","[1.7,39.6]","[1.95,547]","(8.06,106]","(25,170]","[1,35.9]"
"252","[1.61,39.52]","[1,24.8]","[1,24.8]","[1.11,23.3]","[1,45.3]","[1,25.3]","[1.7,39.6]","[1.95,547]","[1,8.06]","[1.53,25]","(35.9,343]"
"253","(39.52,552]","(24.8,389]","[1,24.8]","(23.3,843]","[1,45.3]","(25.3,2571]","(39.6,3555]","[1.95,547]","(8.06,106]","[1.53,25]","[1,35.9]"
"254","[1.61,39.52]","[1,24.8]","[1,24.8]","(23.3,843]","[1,45.3]","[1,25.3]","[1.7,39.6]","[1.95,547]","(8.06,106]","[1.53,25]","(35.9,343]"
"255","(39.52,552]","(24.8,389]","[1,24.8]","[1.11,23.3]","[1,45.3]","[1,25.3]","(39.6,3555]","[1.95,547]","(8.06,106]","[1.53,25]","[1,35.9]"
"256","(39.52,552]","[1,24.8]","[1,24.8]","(23.3,843]","[1,45.3]","[1,25.3]","[1.7,39.6]","[1.95,547]","(8.06,106]","(25,170]","[1,35.9]"
"257","(39.52,552]","[1,24.8]","[1,24.8]","(23.3,843]","[1,45.3]","[1,25.3]","[1.7,39.6]","[1.95,547]","(8.06,106]","(25,170]","[1,35.9]"
"258","[1.61,39.52]","[1,24.8]","[1,24.8]","(23.3,843]","(45.3,764]","(25.3,2571]","(39.6,3555]","(547,4491]","(8.06,106]","(25,170]","[1,35.9]"
"259","(39.52,552]","(24.8,389]","[1,24.8]","[1.11,23.3]","[1,45.3]","[1,25.3]","[1.7,39.6]","[1.95,547]","(8.06,106]","(25,170]","[1,35.9]"
"260","(39.52,552]","(24.8,389]","[1,24.8]","[1.11,23.3]","[1,45.3]","[1,25.3]","(39.6,3555]","[1.95,547]","[1,8.06]","[1.53,25]","(35.9,343]"
"261","(39.52,552]","(24.8,389]","[1,24.8]","[1.11,23.3]","[1,45.3]","[1,25.3]","[1.7,39.6]","[1.95,547]","(8.06,106]","[1.53,25]","(35.9,343]"
"262","[1.61,39.52]","[1,24.8]","(24.8,167]","(23.3,843]","[1,45.3]","[1,25.3]","[1.7,39.6]","[1.95,547]","[1,8.06]","(25,170]","(35.9,343]"
"263","(39.52,552]","(24.8,389]","[1,24.8]","[1.11,23.3]","[1,45.3]","[1,25.3]","[1.7,39.6]","[1.95,547]","[1,8.06]","[1.53,25]","(35.9,343]"
"264","(39.52,552]","(24.8,389]","(24.8,167]","(23.3,843]","[1,45.3]","(25.3,2571]","(39.6,3555]","[1.95,547]","(8.06,106]","(25,170]","[1,35.9]"
"265","(39.52,552]","(24.8,389]","[1,24.8]","(23.3,843]","[1,45.3]","[1,25.3]","[1.7,39.6]","[1.95,547]","(8.06,106]","(25,170]","[1,35.9]"
"266","[1.61,39.52]","[1,24.8]","(24.8,167]","(23.3,843]","[1,45.3]","[1,25.3]","[1.7,39.6]","(547,4491]","(8.06,106]","(25,170]","[1,35.9]"
"267","(39.52,552]","(24.8,389]","[1,24.8]","(23.3,843]","(45.3,764]","[1,25.3]","[1.7,39.6]","(547,4491]","(8.06,106]","(25,170]","[1,35.9]"
"268","(39.52,552]","[1,24.8]","[1,24.8]","(23.3,843]","[1,45.3]","(25.3,2571]","(39.6,3555]","(547,4491]","(8.06,106]","(25,170]","[1,35.9]"
"269","(39.52,552]","(24.8,389]","[1,24.8]","(23.3,843]","(45.3,764]","(25.3,2571]","(39.6,3555]","[1.95,547]","(8.06,106]","(25,170]","[1,35.9]"
"270","(39.52,552]","(24.8,389]","[1,24.8]","(23.3,843]","[1,45.3]","(25.3,2571]","(39.6,3555]","(547,4491]","(8.06,106]","[1.53,25]","[1,35.9]"
"271","[1.61,39.52]","[1,24.8]","[1,24.8]","(23.3,843]","[1,45.3]","[1,25.3]","[1.7,39.6]","(547,4491]","(8.06,106]","(25,170]","[1,35.9]"
"272","(39.52,552]","(24.8,389]","(24.8,167]","(23.3,843]","[1,45.3]","[1,25.3]","[1.7,39.6]","(547,4491]","[1,8.06]","[1.53,25]","(35.9,343]"
"273","[1.61,39.52]","[1,24.8]","[1,24.8]","[1.11,23.3]","[1,45.3]","(25.3,2571]","(39.6,3555]","[1.95,547]","(8.06,106]","(25,170]","[1,35.9]"
"274","(39.52,552]","(24.8,389]","[1,24.8]","[1.11,23.3]","[1,45.3]","(25.3,2571]","(39.6,3555]","(547,4491]","(8.06,106]","[1.53,25]","[1,35.9]"
"275","(39.52,552]","(24.8,389]","[1,24.8]","(23.3,843]","[1,45.3]","[1,25.3]","[1.7,39.6]","(547,4491]","(8.06,106]","(25,170]","[1,35.9]"
"276","[1.61,39.52]","[1,24.8]","[1,24.8]","(23.3,843]","[1,45.3]","[1,25.3]","(39.6,3555]","[1.95,547]","[1,8.06]","[1.53,25]","(35.9,343]"
"277","(39.52,552]","[1,24.8]","[1,24.8]","(23.3,843]","[1,45.3]","(25.3,2571]","(39.6,3555]","(547,4491]","(8.06,106]","(25,170]","(35.9,343]"
"278","(39.52,552]","[1,24.8]","[1,24.8]","(23.3,843]","[1,45.3]","[1,25.3]","(39.6,3555]","(547,4491]","[1,8.06]","(25,170]","[1,35.9]"
"279","(39.52,552]","(24.8,389]","[1,24.8]","[1.11,23.3]","[1,45.3]","[1,25.3]","[1.7,39.6]","[1.95,547]","(8.06,106]","(25,170]","[1,35.9]"
"280","(39.52,552]","(24.8,389]","[1,24.8]","[1.11,23.3]","[1,45.3]","(25.3,2571]","(39.6,3555]","[1.95,547]","[1,8.06]","(25,170]","(35.9,343]"
"281","(39.52,552]","[1,24.8]","[1,24.8]","(23.3,843]","[1,45.3]","[1,25.3]","[1.7,39.6]","[1.95,547]","[1,8.06]","[1.53,25]","(35.9,343]"
"282","[1.61,39.52]","(24.8,389]","[1,24.8]","(23.3,843]","[1,45.3]","[1,25.3]","[1.7,39.6]","[1.95,547]","(8.06,106]","(25,170]","[1,35.9]"
"283","[1.61,39.52]","[1,24.8]","[1,24.8]","(23.3,843]","[1,45.3]","(25.3,2571]","(39.6,3555]","(547,4491]","(8.06,106]","[1.53,25]","[1,35.9]"
"284","[1.61,39.52]","[1,24.8]","[1,24.8]","(23.3,843]","[1,45.3]","[1,25.3]","[1.7,39.6]","[1.95,547]","(8.06,106]","(25,170]","[1,35.9]"
"285","[1.61,39.52]","[1,24.8]","[1,24.8]","[1.11,23.3]","[1,45.3]","[1,25.3]","[1.7,39.6]","[1.95,547]","(8.06,106]","(25,170]","(35.9,343]"
"286","(39.52,552]","(24.8,389]","[1,24.8]","[1.11,23.3]","[1,45.3]","[1,25.3]","[1.7,39.6]","[1.95,547]","(8.06,106]","[1.53,25]","[1,35.9]"
"287","[1.61,39.52]","[1,24.8]","(24.8,167]","(23.3,843]","[1,45.3]","(25.3,2571]","(39.6,3555]","(547,4491]","(8.06,106]","[1.53,25]","(35.9,343]"
"288","(39.52,552]","(24.8,389]","(24.8,167]","(23.3,843]","(45.3,764]","(25.3,2571]","(39.6,3555]","[1.95,547]","[1,8.06]","(25,170]","[1,35.9]"
"289","(39.52,552]","(24.8,389]","[1,24.8]","(23.3,843]","[1,45.3]","[1,25.3]","[1.7,39.6]","[1.95,547]","[1,8.06]","[1.53,25]","(35.9,343]"
"290","(39.52,552]","(24.8,389]","[1,24.8]","(23.3,843]","[1,45.3]","(25.3,2571]","(39.6,3555]","(547,4491]","(8.06,106]","[1.53,25]","[1,35.9]"
"291","[1.61,39.52]","[1,24.8]","[1,24.8]","(23.3,843]","[1,45.3]","[1,25.3]","[1.7,39.6]","[1.95,547]","(8.06,106]","[1.53,25]","[1,35.9]"
"292","(39.52,552]","(24.8,389]","[1,24.8]","(23.3,843]","[1,45.3]","(25.3,2571]","(39.6,3555]","[1.95,547]","(8.06,106]","(25,170]","[1,35.9]"
"293","(39.52,552]","[1,24.8]","[1,24.8]","(23.3,843]","(45.3,764]","[1,25.3]","[1.7,39.6]","[1.95,547]","(8.06,106]","[1.53,25]","[1,35.9]"
"294","(39.52,552]","[1,24.8]","[1,24.8]","(23.3,843]","[1,45.3]","(25.3,2571]","(39.6,3555]","(547,4491]","[1,8.06]","[1.53,25]","(35.9,343]"
"295","[1.61,39.52]","[1,24.8]","[1,24.8]","(23.3,843]","[1,45.3]","[1,25.3]","[1.7,39.6]","[1.95,547]","(8.06,106]","(25,170]","[1,35.9]"
"296","[1.61,39.52]","[1,24.8]","[1,24.8]","[1.11,23.3]","[1,45.3]","[1,25.3]","[1.7,39.6]","[1.95,547]","(8.06,106]","[1.53,25]","[1,35.9]"
"297","[1.61,39.52]","(24.8,389]","[1,24.8]","[1.11,23.3]","[1,45.3]","(25.3,2571]","(39.6,3555]","(547,4491]","[1,8.06]","[1.53,25]","[1,35.9]"
